microrregiao,bairro
3.1,Aflitos
5.1,Afogados
2.2,Agua Fria
3.1,Alto do Mandu
3.2,Alto José Bonifácio
3.2,Alto José do Pinho
2.2,Alto Santa Teresinha
3.1,Apipucos
5.2,Areias
2.1,Arruda
5.3,Barro
2.3,Beberibe
6.1,Boa Viagem
1.2,Boa Vista
2.2,Bomba do Hemetério
5.1,Bongi
6.1,Brasília Teimosa
3.3,Brejo da Guabiraba
3.3,Brejo de Beberibe
1.2,Cabanga
5.2,Caçote
2.2,Cajueiro
2.1,Campina do Barreto
2.1,Campo Grande
3.1,Casa Amarela
3.1,Casa Forte
4.3,Caxangá
4.3,Cidade Universitária
1.3,Coelhos
5.3,Coqueiral
6.3,Cohab
4.1,Cordeiro
3.3,Córrego do Jenipapo
5.3,Curado
3.1,Derby
3.1,Dois Irmãos
2.3,Dois Unidos
2.1,Encruzilhada
4.2,Engenho do Meio
3.1,Espinheiro
5.2,Estância
2.2,Fundão
3.1,Graças
3.3,Guabiraba
2.1,Hipódromo
6.2,Ibura
1.2,Ilha do Leite
4.1,Ilha do Retiro
1.3,Ilha Joana Bezerra
6.1,Imbiribeira
6.1,Ipsep
4.1,Iputinga
3.1,Jaqueira
5.3,Jardim São Paulo
5.2,Jiquiá
6.2,Jordão
2.3,Linha do Tiro
3.3,Macaxeira
4.1,Madalena
3.2,Mangabeira
5.1,Mangueira
3.1,Monteiro
3.2,Morro da Conceição
5.1,Mustardinha
3.3,Nova Descoberta
1.2,Paissandu
3.1,Parnamirim
3.3,Passarinho
3.3,Pau-Ferro
2.1,Peixinhos
6.1,Pina
3.1,Poço da Panela
2.1,Ponto de Parada
2.2,Porto da Madeira
4.1,Prado
1.1,Recife
2.1,Rosarinho
5.1,San Martin
5.3,Sancho
3.1,Santana
1.1,Santo Amaro
1.2,Santo Antônio
1.2,São José
6.1,Setúbal
3.1,Sítio dos Pintos
1.2,Soledade
3.1,Tamarineira
5.3,Tejipió
4.1,Torre
2.1,Torreão
4.2,Torrões
5.3,Totó
3.2,Vasco da Gama
4.3,Várzea
4.1,Zumbi
